claim,image_path
FDA approves the first CRISPR-based treatment for hereditary blindness.,generated_images/event_1.jpg
Clinical trials for a universal influenza vaccine enter Phase III.,generated_images/event_2.jpg
Breakthrough in lab-grown heart tissue shows successful integration in porcine models.,generated_images/event_3.jpg
First human trial of a Neuralink-style interface for treating Parkinson's tremors.,generated_images/event_4.jpg
Global health summit declares a new super-fungus as a priority health threat.,generated_images/event_5.jpg
Successful birth of a northern white rhino via in-vitro fertilization.,generated_images/event_6.jpg
Study finds significant cognitive recovery in stroke patients using VR therapy.,generated_images/event_7.jpg
WHO approves a single-dose malaria vaccine for sub-Saharan Africa.,generated_images/event_8.jpg
Researchers develop a blood test that detects 50 types of cancer simultaneously.,generated_images/event_9.jpg
Gene therapy restores hearing in children with congenital deafness.,generated_images/event_10.jpg
New antibiotic discovered in soil bacteria defeats drug-resistant tuberculosis.,generated_images/event_11.jpg
mRNA vaccine platform adapted to target aggressive pancreatic cancer.,generated_images/event_12.jpg
Scientists grow functional kidney organoids from human stem cells.,generated_images/event_13.jpg
Clinical trial shows Alzheimer's drug slows cognitive decline by 45%.,generated_images/event_14.jpg
Genetically engineered mosquitoes reduce malaria cases by 90% in Burkina Faso.,generated_images/event_15.jpg
Lab-grown corneas restore sight in 20 blind patients in Sweden.,generated_images/event_16.jpg
Biomarker panel in saliva detected early-stage lung cancer with 94% accuracy.,generated_images/event_17.jpg
First pig-to-human heart transplant patient survives beyond one year.,generated_images/event_18.jpg
AI diagnostic tool outperforms radiologists in detecting breast cancer.,generated_images/event_19.jpg
New class of antibiotics defeats MRSA without harming gut microbiome.,generated_images/event_20.jpg
Researchers implant a lab-grown trachea in a ten-year-old patient.,generated_images/event_21.jpg
Scientists identify gene variant that grants near-immunity to HIV.,generated_images/event_22.jpg
Nanoparticle drug delivery system eliminates glioblastoma tumors in mice.,generated_images/event_23.jpg
First FDA-cleared at-home diagnostic for early Parkinson's disease.,generated_images/event_24.jpg
Wearable device predicts epileptic seizures 30 minutes in advance.,generated_images/event_25.jpg
Gut microbiome transplant shows 70% remission rate in Crohn's disease.,generated_images/event_26.jpg
Researchers link chronic sleep deprivation to accelerated brain atrophy.,generated_images/event_27.jpg
Synthetic blood substitute passes safety trials in trauma patients.,generated_images/event_28.jpg
Personalized cancer vaccine triggers immune response in 95% of recipients.,generated_images/event_29.jpg
Scientists reverse aging markers in mice by reprogramming skin cells.,generated_images/event_30.jpg
New study links excessive screen time to myopia epidemic in children.,generated_images/event_31.jpg
Childhood obesity linked to a specific gut microbiome imbalance.,generated_images/event_32.jpg
First robotic surgery performed autonomously without human intervention.,generated_images/event_33.jpg
Drug trial shows 80% reduction in migraine frequency with monthly injection.,generated_images/event_34.jpg
Researchers identify protein that prevents metastasis in breast cancer.,generated_images/event_35.jpg
